NIVEL,NOMBRE,TURNO,COLONIA,ALCALDIA
INICIAL,CENDI PART MONTESSORI DEL BOSQUE,MATUTINO,SAN MIGUEL CHAPULTEPEC,MIGUEL HIDALGO
INICIAL,CENDI PART ECOLOGICO DE DESARROLLO INFANTIL S.C.,TIEMPO COMPLETO,TLALPAN,TLALPAN
INICIAL,CENDI PART COLEGIO PEDAGOGICO DE LA CD. DE MÉXICO S.C. GORATONY,MATUTINO,NARVARTE,BENITO JUAREZ
INICIAL,CENDI PART SERAFIN,TIEMPO COMPLETO,SAN JUAN DE ARAGON,GUSTAVO A. MADERO
INICIAL,EL MUNDO FELIZ DE LOS BUKIS,TIEMPO COMPLETO,MIXCOAC,BENITO JUAREZ
INICIAL,GUARDERIA COAPA,MATUTINO,HACIENDA COAPA,TLALPAN
INICIAL,CENDI PART EL BOSQUE ANIMADO S.C.,TIEMPO COMPLETO,SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS
INICIAL,DREAMS HOUSE,MATUTINO,AJUSCO,COYOACAN
INICIAL,GUARDERIA IRRIGACION S.C.,MATUTINO,BENITO JUAREZ,GUSTAVO A. MADERO
INICIAL,GRUPO EDUCATIVO KOGUS,TIEMPO COMPLETO,SAN PEDRO EL CHICO,GUSTAVO A. MADERO
INICIAL,MUNDO DE LOS PEQUES,TIEMPO COMPLETO,POLANCO REFORMA,MIGUEL HIDALGO
INICIAL,AQUA KIDS,TIEMPO COMPLETO,LINDAVISTA,GUSTAVO A. MADERO
INICIAL,CENDI PART KID'S PLANET,MATUTINO,PEDREGAL DE SAN NICOLAS,TLALPAN
INICIAL,INSTITUTO COMPROMISO CON LA NIÑEZ,MATUTINO,SAN ALVARO,AZCAPOTZALCO
INICIAL,"HOMO VIVENS DAYCARE, S.C.",MATUTINO,JARDINES DEL PEDREGAL,ALVARO OBREGON
INICIAL,CENTRO DE DESARROLLO INFANTIL IZKALOTL,MATUTINO,GENERAL PEDRO MARIA ANAYA,BENITO JUAREZ
INICIAL,CENDI PART BABY BEE S.C.,TIEMPO COMPLETO,POLANCO CHAPULTEPEC,MIGUEL HIDALGO
INICIAL,CENDI PART EL GRILLITO,MATUTINO,SAN JUAN TEPEPAN,XOCHIMILCO
INICIAL,FELICES HACIA EL FUTURO,MATUTINO,DEL CARMEN,COYOACAN
INICIAL,CENDI PART SNOOPY,MATUTINO,PENSIL,MIGUEL HIDALGO
INICIAL,YOLOTZIN,MATUTINO,PORTALES,BENITO JUAREZ
INICIAL,CENDI PART UNIDOS PARA CRECER S.C.,MATUTINO,ANZURES,MIGUEL HIDALGO
INICIAL,CENDI PART YUMKA S.C.,MATUTINO,LOS OLIVOS,TLAHUAC
INICIAL,CENDI PART. BAMBINELLO S.C.,MATUTINO,POTRERO DE SAN BERNARDINO,XOCHIMILCO
INICIAL,CENTRO DE ATENCION Y ESTIMULACION PSICOPEDAGOGICA INFANTIL S.C.,TIEMPO COMPLETO,NARVARTE,BENITO JUAREZ
INICIAL,CENDI PART SERVICIOS INTEGRALES PROINFANCIA S.C.,TIEMPO COMPLETO,ROMA SUR,CUAUHTEMOC
INICIAL,CENTRO DE DESARROLLO INFANTIL CUICALLI COPILCO,MATUTINO,COPILCO UNIVERSIDAD,COYOACAN
INICIAL,ESTANCIA INFANTIL NEW ISAAC NEWTON,MATUTINO,AGRICOLA ORIENTAL,IZTACALCO
INICIAL,CENTRO EDUCATIVO DEL VALLE,TIEMPO COMPLETO,DEL VALLE,BENITO JUAREZ
INICIAL,MI KINDER,MATUTINO,JARDINES DEL PEDREGAL,ALVARO OBREGON
INICIAL,INSTITUCION DE DESARROLLO INFANTIL LA CASITA DEL ARBOL,MATUTINO,LETRAN VALLE,BENITO JUAREZ
INICIAL,COKELUSH,TIEMPO COMPLETO,LOS OLIVOS,TLAHUAC
INICIAL,CENDI PART AILYN,MATUTINO,LOS PADRES,MAGDALENA CONTRERAS
INICIAL,ESCUELA BRITISH COLUMBIA,MATUTINO,MOCTEZUMA 1A SECCION,VENUSTIANO CARRANZA
INICIAL,"KHORIÍ, DESARROLLO INTEGRAL",MATUTINO,LINDAVISTA AMPLIACION,GUSTAVO A. MADERO
INICIAL,JARDIN DE NIÑOS EDUCARTE,MATUTINO,RINCONADA COAPA,TLALPAN
INICIAL,CENTRO DE EDUCACIÓN PREESCOLAR EL ARLEQUIN,TIEMPO COMPLETO,MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA
INICIAL,INSTITUTO MONTESSORI LA CASA DEL BAMBINI,MATUTINO,AGRICOLA ORIENTAL,IZTACALCO
INICIAL,COLEGIO O'FARRILL,MATUTINO,MIGUEL HIDALGO AMPLIACION,TLALPAN
INICIAL,IMPULSO PEDAGOGICO MEXICANO,MATUTINO,POLANCO REFORMA,MIGUEL HIDALGO
INICIAL,INSTITUTO ASUNCIÓN DE MÉXICO,MATUTINO,LAS AGUILAS,ALVARO OBREGON
INICIAL,INSTITUTO CULTURAL SANTA FE,MATUTINO,CRISTO REY,ALVARO OBREGON
INICIAL,JARDIN DE NIÑOS BILINGÜE CHARLY A.C.,MATUTINO,PRADOS DEL ROSARIO,AZCAPOTZALCO
INICIAL,JARDIN DE NIÑOS CARRUSEL,MATUTINO,UNIDAD SAN JUAN DE ARAGON 4A SECCION,GUSTAVO A. MADERO
INICIAL,COLEGIO MC,MATUTINO,PORTALES,BENITO JUAREZ
INICIAL,JARDIN DE NIÑOS SISTEMA EDUCATIVO BILINGÜE,TIEMPO COMPLETO,PRADO CHURUBUSCO,COYOACAN
INICIAL,COLEGIO JOSÉ MARÍA MORELOS Y PAVON,TIEMPO COMPLETO,GRANJAS ESTRELLA,IZTAPALAPA
INICIAL,SUNNY SIDE SCHOOL,MATUTINO,PARAJE SAN JUAN 2A SECCION,IZTAPALAPA
Preescolar,JARDÍN DE NIÑOS ANEXO A LA ESCUELA PRIMARIA AMERICANA,MATUTINO,SAN PEDRO DE LOS PINOS,BENITO JUAREZ
Preescolar,COLEGIO DE LA VERA CRUZ,MATUTINO,LAS AGUILAS,ALVARO OBREGON
Preescolar,COLEGIO PETERSON CALMECAC DEL PEDREGAL,MATUTINO,JARDINES DEL PEDREGAL,ALVARO OBREGON
Preescolar,JARDIN DE NIÑOS FEDERICO FROEBEL,MATUTINO,LA OTRA BANDA,ALVARO OBREGON
Preescolar,COLEGIO WILLMINGTON,MATUTINO,SAN RAFAEL,CUAUHTEMOC
Preescolar,INSTITUTO PEDAGOGICO EMMANUEL KANT,MATUTINO,MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA
Preescolar,COLEGIO DEL DANTE BILINGÜE,MATUTINO,VILLA OBREGON,ALVARO OBREGON
Preescolar,LIC. MANUEL G. ESCOBEDO DÍAZ DE LEÓN,MATUTINO,SAN JERONIMO LIDICE,MAGDALENA CONTRERAS
Preescolar,ESCUELA DE LA CIUDAD DE MÉXICO,MATUTINO,SANTA MARIA LA RIBERA,CUAUHTEMOC
