Nombre,Domicilio
TELESECUNDARIA 63,"ADMON U HAB CAMPAÑA DEL EBANO Y C CELAYA S/N, UNIDAD HAB VICENTE GUERRERO, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - VALENTIN ZAMORA OROZCO,"PLAYA FLAMINGOS NO 1, MILITAR MARTE, DELEGACION IZTACALCO, MEXICO DF."
PREESCOLAR GENERAL - ESTADO DE ZACATECAS,"CANAL DE SAN JUAN Y SUR 14 C, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - PROFRA. AMANDA PALAFOX Y BAZ,"MONTE ELBRUZ NO 15, LOS VOLCANES, DELEGACION TLALPAN, MEXICO DF."
PRIMARIA GENERAL - VALENTIN ZAMORA OROZCO,"RETORNO 33 Y 34 S/N, AVANTE, DELEGACION COYOACAN, MEXICO DF."
PRIMARIA GENERAL - VIDAL ALCOCER,"MAGISTERIO NACIONAL NO 102, TLALPAN, DELEGACION TLALPAN, MEXICO DF."
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - MA. CRUZ MANJARREZ,"ANTONIO HGO Y CANDIDO AGUILAR, CONSTITUCION 1917, DELEGACION IZTAPALAPA, MEXICO DF."
"LACTANTE, MATERNAL Y PREESCOLAR - CENDI SEP NO 14 GIBRAN JALIL GIBRAN","JOSEFA ORTIZ DE DOMINGUEZ S/N, LA GUADALUPITA, DELEGACION XOCHIMILCO, MEXICO DF."
PREESCOLAR GENERAL - YOLILIZTLI,"AV. JUAREZ S/N ESQ. ACUEXCOMAC, PUEBLO SAN LUIS TLAXIALTEMALCO, DELEGACION XOCHIMILCO, MEXICO DF."
PRIMARIA GENERAL - CHICHEN ITZA,"AV 5 DE MAYO S/N, SANTIAGO TEPALCATLAPAN, DELEGACION XOCHIMILCO, MEXICO DF."
PREESCOLAR GENERAL - COCONALLI,"C. PINO SUR S/N, PUEBLO SAN MATEO XALPA, DELEGACION XOCHIMILCO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 33,"ORIENTE 112 SUR 183, GABRIEL RAMOS MILLAN, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - ANAHUAXOCHITL,"PABLO L SIDAR ENTRE 35 Y 37 NTE, MOCTEZUMA 2A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PRIMARIA GENERAL - PRESIDENTE VICENTE ROCAFUERTE,"COXCOX S/N Y RIO CHURUBUSCO, ARENAL 2A SECC, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PREESCOLAR GENERAL - 10 DE ABRIL,"CERRADA LEANDRO VALLE S/N, SAN LORENZO ACOPILCO, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF."
PRIMARIA GENERAL - TEUHTLI,"AV INDEPENDENCIA NO 15, PUEBLO SAN FRANCISCO TECOXPA, DELEGACION MILPA ALTA, MEXICO DF."
PRIMARIA GENERAL - PROFRA. GUADALUPE MAYOL DE GONZALEZ,"SARASATE NO 94 BIS, PERALVILLO, DELEGACION CUAUHTEMOC, MEXICO DF."
PREESCOLAR GENERAL - ENRIQUE TIERNO GALVAN,"FRANCISCO ESPEJEL NO 96, MOCTEZUMA 1A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF."
PREESCOLAR GENERAL - ITZCALLI,"GUADALAJARA S/N, MIGUEL HIDALGO, DELEGACION TLAHUAC, MEXICO DF."
PREESCOLAR GENERAL - LEON FELIPE,"RAFAEL CURIEL Y ALBERTO GONZALEZ, CONSTITUCION 1917, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - MEXIKATZIN,"AV.SAN ISIDRO ALTO LERMA NO 24 M-14 L-1COLONIA, CORPUS CHRISTI, DELEGACION ALVARO OBREGON, MEXICO DF."
PRIMARIA GENERAL - NIÑOS HEROES,"CALLE SANTA RITA NO 230, LOMAS DEL PADRE, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF."
PREESCOLAR GENERAL - CARLOS ALCALDE,"VIRREYES Y PRADO SUR, LOMAS DE CHAPULTEPEC, DELEGACION MIGUEL HIDALGO, MEXICO DF."
SECUNDARIA GENERAL - JOSE GUADALUPE NAJERA JIMENEZ,"CERRO MERCADO Y CERRO SAN FRANCISCO NO 263, CAMPESTRE CHURUBUSCO, DELEGACION COYOACAN, MEXICO DF."
PRIMARIA GENERAL - PRESIDENTE PLUTARCO ELIAS CALLES,"AV PLUTARCO ELIAS CALLES NO 972, REFORMA IXTACCIHUATL, DELEGACION IZTACALCO, MEXICO DF."
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE 12 V","11 DE ABRIL NO  188, TACUBAYA, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PRIMARIA GENERAL - LUIS CASTILLO LEDON,"LAGOS ZURICH Y GINEBRA, 5 DE MAYO, DELEGACION MIGUEL HIDALGO, MEXICO DF."
PRIMARIA GENERAL - ANTONIO GARCIA CUBAS,"CALZ DE LA VIGA NO 865, CONJUNTO HABITACIONAL SANTIAGO, DELEGACION IZTACALCO, MEXICO DF."
PREESCOLAR GENERAL - AMERICA LATINA,"ORIENTE 233 Y CDA DE ORIENTE 233, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF."
PRIMARIA GENERAL - DR. SALVADOR ALLENDE,"BLVD DEL TEMOLUCO Y LA ESCOLLERA, CONJ HAB ACUEDUCTO DE GUADALUPE, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - REGENTE URUCHURTU,"CALLE 1 NO 26, SAN JOSE DE LA ESCALERA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
PRIMARIA GENERAL - ANA MARIA BERLANGA,"CALLE 507 PLAZA 2, U SAN JUAN DE ARAGON, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 44,"FRANCISCO DEL PASO Y TRONCOSO Y CALLE DEL ROSAL S/N, PUEBLO MAGDALENA ATLAZOLPA, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - PROFR. BALDOMERO SAMANO MUÐOZ,"ARQUEOLOGOS 106 Y RIO CHURUBUSCO, EL RETONO, DELEGACION IZTAPALAPA, MEXICO DF."
ESCUELA SECUNDARIA TECNICA 115,"AV. DEL PARAISO ESQ. CAPULIN, SAN MIGUEL TEOTONGO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - PROFR. JOSE DAVILA,"AV.NAUTLA NO.69, CASA BLANCA, DELEGACION IZTAPALAPA, MEXICO DF."
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - JUAN HUARTE DE SAN JUAN","CAMINO CERRO DE LA ESTRELLA S/N EDIF 5, EL SANTUARIO, DELEGACION IZTAPALAPA, MEXICO DF."
PRIMARIA GENERAL - JULIO CORTAZAR,"AV.JUAN CRISOSTOMO BONILLA S/N, UNIDAD HAB IGNACIO ZARAGOZA, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - CARLOS CHAVEZ,"CIRCUITO RIO MIXTECO S/N, CONJ HAB REAL DEL MORAL, DELEGACION IZTAPALAPA, MEXICO DF."
PREESCOLAR GENERAL - TLAMATINI,"FELIPE ANGELES S/N, SAN MIGUEL TEOTONGO, DELEGACION IZTAPALAPA, MEXICO DF."
SECUNDARIA GENERAL - UNION DE REPUBLICAS SOCIALISTAS SOVIETICAS,"CIENFUEGOS NO 1069, LINDAVISTA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
SECUNDARIA GENERAL - GUSTAVO A MADERO,"PUERTO MAZATLAN Y MOCTEZUMA, LA PASTORA, DELEGACION GUSTAVO A. MADERO, MEXICO DF."
